AIC scores of trees from 100 runs after PartitionFinder and tree estimation:
                                         runs      aic
471   output_nomerge_100/nomerge46.nex.iqtree 167542.8
921   output_nomerge_100/nomerge91.nex.iqtree 167549.8
361   output_nomerge_100/nomerge35.nex.iqtree 167603.1
401   output_nomerge_100/nomerge39.nex.iqtree 167622.3
331   output_nomerge_100/nomerge32.nex.iqtree 167629.6
551   output_nomerge_100/nomerge54.nex.iqtree 167637.1
821   output_nomerge_100/nomerge81.nex.iqtree 167651.8
121   output_nomerge_100/nomerge11.nex.iqtree 167652.9
271   output_nomerge_100/nomerge26.nex.iqtree 167653.0
83              output_100/merge82.nex.iqtree 167661.0
391   output_nomerge_100/nomerge38.nex.iqtree 167667.4
941   output_nomerge_100/nomerge93.nex.iqtree 167682.7
411   output_nomerge_100/nomerge40.nex.iqtree 167683.2
421   output_nomerge_100/nomerge41.nex.iqtree 167693.4
371   output_nomerge_100/nomerge36.nex.iqtree 167710.2
631   output_nomerge_100/nomerge62.nex.iqtree 167714.1
571   output_nomerge_100/nomerge56.nex.iqtree 167714.4
101   output_nomerge_100/nomerge10.nex.iqtree 167717.1
96              output_100/merge95.nex.iqtree 167718.3
62              output_100/merge61.nex.iqtree 167728.0
911   output_nomerge_100/nomerge90.nex.iqtree 167729.1
201   output_nomerge_100/nomerge19.nex.iqtree 167740.8
61              output_100/merge60.nex.iqtree 167752.3
41              output_100/merge40.nex.iqtree 167754.2
991   output_nomerge_100/nomerge98.nex.iqtree 167764.2
73              output_100/merge72.nex.iqtree 167765.3
94              output_100/merge93.nex.iqtree 167782.2
261   output_nomerge_100/nomerge25.nex.iqtree 167783.0
981   output_nomerge_100/nomerge97.nex.iqtree 167791.6
210   output_nomerge_100/nomerge02.nex.iqtree 167799.8
721   output_nomerge_100/nomerge71.nex.iqtree 167800.0
310   output_nomerge_100/nomerge03.nex.iqtree 167800.7
46              output_100/merge45.nex.iqtree 167805.1
32              output_100/merge31.nex.iqtree 167813.2
3               output_100/merge03.nex.iqtree 167814.2
38              output_100/merge37.nex.iqtree 167818.2
58              output_100/merge57.nex.iqtree 167850.2
64              output_100/merge63.nex.iqtree 167857.1
601   output_nomerge_100/nomerge59.nex.iqtree 167864.0
11             output_100/merge100.nex.iqtree 167867.6
66              output_100/merge65.nex.iqtree 167869.9
34              output_100/merge33.nex.iqtree 167879.1
511   output_nomerge_100/nomerge50.nex.iqtree 167883.1
85              output_100/merge84.nex.iqtree 167886.2
35              output_100/merge34.nex.iqtree 167892.7
37              output_100/merge36.nex.iqtree 167894.8
23              output_100/merge22.nex.iqtree 167900.1
141   output_nomerge_100/nomerge13.nex.iqtree 167905.3
52              output_100/merge51.nex.iqtree 167907.2
47              output_100/merge46.nex.iqtree 167910.2
74              output_100/merge73.nex.iqtree 167914.2
93              output_100/merge92.nex.iqtree 167922.0
63              output_100/merge62.nex.iqtree 167928.2
211   output_nomerge_100/nomerge20.nex.iqtree 167934.0
671   output_nomerge_100/nomerge66.nex.iqtree 167948.4
2               output_100/merge02.nex.iqtree 167968.7
961   output_nomerge_100/nomerge95.nex.iqtree 168007.3
451   output_nomerge_100/nomerge44.nex.iqtree 168020.1
311   output_nomerge_100/nomerge30.nex.iqtree 168021.7
291   output_nomerge_100/nomerge28.nex.iqtree 168022.2
26              output_100/merge25.nex.iqtree 168024.5
871   output_nomerge_100/nomerge86.nex.iqtree 168027.7
711   output_nomerge_100/nomerge70.nex.iqtree 168040.8
861   output_nomerge_100/nomerge85.nex.iqtree 168041.3
1001  output_nomerge_100/nomerge99.nex.iqtree 168057.0
591   output_nomerge_100/nomerge58.nex.iqtree 168061.8
581   output_nomerge_100/nomerge57.nex.iqtree 168062.0
281   output_nomerge_100/nomerge27.nex.iqtree 168064.3
841   output_nomerge_100/nomerge83.nex.iqtree 168065.4
501   output_nomerge_100/nomerge49.nex.iqtree 168084.0
691   output_nomerge_100/nomerge68.nex.iqtree 168087.2
510   output_nomerge_100/nomerge05.nex.iqtree 168094.9
40              output_100/merge39.nex.iqtree 168099.3
491   output_nomerge_100/nomerge48.nex.iqtree 168100.6
151   output_nomerge_100/nomerge14.nex.iqtree 168101.4
781   output_nomerge_100/nomerge77.nex.iqtree 168101.9
810   output_nomerge_100/nomerge08.nex.iqtree 168105.3
481   output_nomerge_100/nomerge47.nex.iqtree 168106.8
51              output_100/merge50.nex.iqtree 168107.0
410   output_nomerge_100/nomerge04.nex.iqtree 168110.0
610   output_nomerge_100/nomerge06.nex.iqtree 168112.3
80              output_100/merge79.nex.iqtree 168112.9
741   output_nomerge_100/nomerge73.nex.iqtree 168117.2
1               output_100/merge01.nex.iqtree 168118.6
191   output_nomerge_100/nomerge18.nex.iqtree 168119.1
561   output_nomerge_100/nomerge55.nex.iqtree 168119.9
910   output_nomerge_100/nomerge09.nex.iqtree 168121.4
351   output_nomerge_100/nomerge34.nex.iqtree 168123.3
431   output_nomerge_100/nomerge42.nex.iqtree 168132.0
811   output_nomerge_100/nomerge80.nex.iqtree 168135.2
831   output_nomerge_100/nomerge82.nex.iqtree 168136.9
891   output_nomerge_100/nomerge88.nex.iqtree 168139.6
641   output_nomerge_100/nomerge63.nex.iqtree 168143.7
110   output_nomerge_100/nomerge01.nex.iqtree 168152.6
931   output_nomerge_100/nomerge92.nex.iqtree 168152.7
87              output_100/merge86.nex.iqtree 168159.0
20              output_100/merge19.nex.iqtree 168160.4
701   output_nomerge_100/nomerge69.nex.iqtree 168160.5
84              output_100/merge83.nex.iqtree 168163.8
44              output_100/merge43.nex.iqtree 168164.0
881   output_nomerge_100/nomerge87.nex.iqtree 168166.5
901   output_nomerge_100/nomerge89.nex.iqtree 168168.4
42              output_100/merge41.nex.iqtree 168174.3
131   output_nomerge_100/nomerge12.nex.iqtree 168174.5
771   output_nomerge_100/nomerge76.nex.iqtree 168176.0
681   output_nomerge_100/nomerge67.nex.iqtree 168182.4
381   output_nomerge_100/nomerge37.nex.iqtree 168183.4
161   output_nomerge_100/nomerge15.nex.iqtree 168184.7
90              output_100/merge89.nex.iqtree 168188.0
761   output_nomerge_100/nomerge75.nex.iqtree 168189.0
8               output_100/merge08.nex.iqtree 168189.1
50              output_100/merge49.nex.iqtree 168198.6
13              output_100/merge12.nex.iqtree 168198.7
48              output_100/merge47.nex.iqtree 168201.4
611   output_nomerge_100/nomerge60.nex.iqtree 168201.9
55              output_100/merge54.nex.iqtree 168202.4
49              output_100/merge48.nex.iqtree 168204.1
461   output_nomerge_100/nomerge45.nex.iqtree 168204.3
65              output_100/merge64.nex.iqtree 168204.8
951   output_nomerge_100/nomerge94.nex.iqtree 168206.0
971   output_nomerge_100/nomerge96.nex.iqtree 168211.6
39              output_100/merge38.nex.iqtree 168211.7
59              output_100/merge58.nex.iqtree 168215.9
251   output_nomerge_100/nomerge24.nex.iqtree 168225.8
731   output_nomerge_100/nomerge72.nex.iqtree 168226.1
89              output_100/merge88.nex.iqtree 168226.3
57              output_100/merge56.nex.iqtree 168231.3
751   output_nomerge_100/nomerge74.nex.iqtree 168233.4
851   output_nomerge_100/nomerge84.nex.iqtree 168233.5
341   output_nomerge_100/nomerge33.nex.iqtree 168236.1
43              output_100/merge42.nex.iqtree 168236.8
76              output_100/merge75.nex.iqtree 168238.9
28              output_100/merge27.nex.iqtree 168245.2
81              output_100/merge80.nex.iqtree 168246.7
12              output_100/merge11.nex.iqtree 168246.9
70              output_100/merge69.nex.iqtree 168247.3
67              output_100/merge66.nex.iqtree 168249.0
78              output_100/merge77.nex.iqtree 168265.9
5               output_100/merge05.nex.iqtree 168267.2
79              output_100/merge78.nex.iqtree 168271.1
661   output_nomerge_100/nomerge65.nex.iqtree 168277.1
88              output_100/merge87.nex.iqtree 168277.8
7               output_100/merge07.nex.iqtree 168280.6
75              output_100/merge74.nex.iqtree 168282.1
16              output_100/merge15.nex.iqtree 168287.0
19              output_100/merge18.nex.iqtree 168290.4
181   output_nomerge_100/nomerge17.nex.iqtree 168295.5
100             output_100/merge99.nex.iqtree 168303.6
521   output_nomerge_100/nomerge51.nex.iqtree 168310.8
14              output_100/merge13.nex.iqtree 168315.6
22              output_100/merge21.nex.iqtree 168315.8
68              output_100/merge67.nex.iqtree 168316.4
33              output_100/merge32.nex.iqtree 168319.4
29              output_100/merge28.nex.iqtree 168324.5
86              output_100/merge85.nex.iqtree 168324.7
91              output_100/merge90.nex.iqtree 168325.4
95              output_100/merge94.nex.iqtree 168325.8
98              output_100/merge97.nex.iqtree 168326.5
24              output_100/merge23.nex.iqtree 168330.0
301   output_nomerge_100/nomerge29.nex.iqtree 168332.1
9               output_100/merge09.nex.iqtree 168335.1
10              output_100/merge10.nex.iqtree 168341.8
710   output_nomerge_100/nomerge07.nex.iqtree 168348.5
241   output_nomerge_100/nomerge23.nex.iqtree 168348.5
231   output_nomerge_100/nomerge22.nex.iqtree 168349.3
71              output_100/merge70.nex.iqtree 168352.5
56              output_100/merge55.nex.iqtree 168361.8
801   output_nomerge_100/nomerge79.nex.iqtree 168368.2
30              output_100/merge29.nex.iqtree 168372.3
77              output_100/merge76.nex.iqtree 168375.0
