AIC scores of trees from 100 runs after PartitionFinder and tree estimation:
                                     runs      aic
901   output_nomerge/nomerge89.nex.iqtree 167500.4
191   output_nomerge/nomerge18.nex.iqtree 167598.3
971   output_nomerge/nomerge96.nex.iqtree 167599.2
381   output_nomerge/nomerge37.nex.iqtree 167604.5
861   output_nomerge/nomerge85.nex.iqtree 167609.6
181   output_nomerge/nomerge17.nex.iqtree 167613.0
271   output_nomerge/nomerge26.nex.iqtree 167613.2
661   output_nomerge/nomerge65.nex.iqtree 167615.9
541   output_nomerge/nomerge53.nex.iqtree 167620.5
710   output_nomerge/nomerge07.nex.iqtree 167630.9
831   output_nomerge/nomerge82.nex.iqtree 167632.9
101   output_nomerge/nomerge10.nex.iqtree 167633.9
631   output_nomerge/nomerge62.nex.iqtree 167636.8
810   output_nomerge/nomerge08.nex.iqtree 167640.2
261   output_nomerge/nomerge25.nex.iqtree 167649.7
771   output_nomerge/nomerge76.nex.iqtree 167660.1
851   output_nomerge/nomerge84.nex.iqtree 167661.1
93              output/merge92.nex.iqtree 167678.6
161   output_nomerge/nomerge15.nex.iqtree 167682.3
100             output/merge99.nex.iqtree 167702.1
921   output_nomerge/nomerge91.nex.iqtree 167703.0
151   output_nomerge/nomerge14.nex.iqtree 167704.4
48              output/merge47.nex.iqtree 167710.5
66              output/merge65.nex.iqtree 167723.2
57              output/merge56.nex.iqtree 167725.0
110   output_nomerge/nomerge01.nex.iqtree 167725.8
471   output_nomerge/nomerge46.nex.iqtree 167728.7
76              output/merge75.nex.iqtree 167730.2
871   output_nomerge/nomerge86.nex.iqtree 167737.0
211   output_nomerge/nomerge20.nex.iqtree 167751.4
731   output_nomerge/nomerge72.nex.iqtree 167766.4
37              output/merge36.nex.iqtree 167768.5
92              output/merge91.nex.iqtree 167771.9
681   output_nomerge/nomerge67.nex.iqtree 167782.8
441   output_nomerge/nomerge43.nex.iqtree 167797.4
121   output_nomerge/nomerge11.nex.iqtree 167800.0
551   output_nomerge/nomerge54.nex.iqtree 167806.3
49              output/merge48.nex.iqtree 167813.7
61              output/merge60.nex.iqtree 167814.0
321   output_nomerge/nomerge31.nex.iqtree 167814.4
73              output/merge72.nex.iqtree 167822.7
111  output_nomerge/nomerge100.nex.iqtree 167832.7
59              output/merge58.nex.iqtree 167833.4
21              output/merge20.nex.iqtree 167838.0
15              output/merge14.nex.iqtree 167845.1
24              output/merge23.nex.iqtree 167851.7
64              output/merge63.nex.iqtree 167853.3
77              output/merge76.nex.iqtree 167858.3
531   output_nomerge/nomerge52.nex.iqtree 167867.3
67              output/merge66.nex.iqtree 167868.4
80              output/merge79.nex.iqtree 167869.2
89              output/merge88.nex.iqtree 167875.9
94              output/merge93.nex.iqtree 167883.9
421   output_nomerge/nomerge41.nex.iqtree 167888.1
18              output/merge17.nex.iqtree 167895.9
96              output/merge95.nex.iqtree 167895.9
911   output_nomerge/nomerge90.nex.iqtree 167911.0
5               output/merge05.nex.iqtree 167918.2
